XCoord,YCoord,OID,TRIPDURATI,STARTTIME,STOPTIME,START_STAT,START_ST_1,START_ST_2,START_ST_3,END_STATIO,END_STAT_1,END_STAT_2,END_STAT_3,BIKEID,USERTYPE,BIRTH_YEAR,GENDER
-73.98142006,40.72740794,144382,712,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,455,1 Ave & E 44 St,40.750020,-73.969053,15719,Subscriber,1983,1
-73.98692300,40.73423200,144398,310,NULL,NULL,297,E 15 St & 3 Ave,40.734232,-73.986923,491,E 24 St & Park Ave S,40.740964,-73.986022,21062,Subscriber,1986,1
-74.00670227,40.70355377,144422,208,NULL,NULL,315,South St & Gouverneur Ln,40.703554,-74.006702,534,Water - Whitehall Plaza,40.702551,-74.012723,21259,Subscriber,1981,1
-73.97668709,40.72228087,144428,1109,NULL,NULL,411,E 6 St & Avenue D,40.722281,-73.976687,264,Maiden Ln & Pearl St,40.707065,-74.007319,15526,Subscriber,1978,1
-74.01658354,40.71533790,144439,588,NULL,NULL,327,Vesey Pl & River Terrace,40.715338,-74.016584,427,Bus Slip & State St,40.701907,-74.013942,16969,Subscriber,1968,1
-74.00277668,40.76087502,144479,999,NULL,NULL,514,12 Ave & W 40 St,40.760875,-74.002777,281,Grand Army Plaza & Central Park S,40.764397,-73.973715,14538,Subscriber,1981,1
-74.00277668,40.76087502,144480,893,NULL,NULL,514,12 Ave & W 40 St,40.760875,-74.002777,510,W 51 St & 6 Ave,40.760660,-73.980420,19059,Subscriber,1964,1
-73.97668709,40.72228087,144485,585,NULL,NULL,411,E 6 St & Avenue D,40.722281,-73.976687,307,Canal St & Rutgers St,40.714275,-73.989900,14986,Subscriber,1961,2
-73.98776323,40.71269042,144495,1245,NULL,NULL,340,Madison St & Clinton St,40.712690,-73.987763,476,E 31 St & 3 Ave,40.743943,-73.979661,16009,Subscriber,1986,2
-74.01713445,40.70834698,144499,975,NULL,NULL,363,West Thames St,40.708347,-74.017134,252,MacDougal St & Washington Sq,40.732264,-73.998522,18870,Subscriber,1979,1
-73.98692300,40.73423200,144508,599,NULL,NULL,297,E 15 St & 3 Ave,40.734232,-73.986923,410,Suffolk St & Stanton St,40.720664,-73.985180,18591,Subscriber,1971,1
-73.99160000,40.74915600,144514,396,NULL,NULL,379,W 31 St & 7 Ave,40.749156,-73.991600,476,E 31 St & 3 Ave,40.743943,-73.979661,20318,Subscriber,1955,1
-73.97668709,40.72228087,144526,822,NULL,NULL,411,E 6 St & Avenue D,40.722281,-73.976687,285,Broadway & E 14 St,40.734546,-73.990741,21657,Subscriber,1982,1
-73.98142006,40.72740794,144539,570,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,501,FDR Drive & E 35 St,40.744219,-73.971212,17501,Subscriber,1989,1
-74.01658354,40.71533790,144558,1268,NULL,NULL,327,Vesey Pl & River Terrace,40.715338,-74.016584,494,W 26 St & 8 Ave,40.747348,-73.997236,21600,Subscriber,1959,1
-73.98776323,40.71269042,144559,986,NULL,NULL,340,Madison St & Clinton St,40.712690,-73.987763,297,E 15 St & 3 Ave,40.734232,-73.986923,17145,Subscriber,1982,1
-73.98014437,40.75500254,144572,408,NULL,NULL,484,W 44 St & 5 Ave,40.755003,-73.980144,488,W 39 St & 9 Ave,40.756458,-73.993722,14937,Subscriber,1983,1
-73.99147535,40.72229346,144575,279,NULL,NULL,265,Stanton St & Chrystie St,40.722293,-73.991475,268,Howard St & Centre St,40.719105,-73.999733,19216,Subscriber,1965,1
-74.00176802,40.75066386,144577,265,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,494,W 26 St & 8 Ave,40.747348,-73.997236,15485,Subscriber,1985,2
-73.97793172,40.72082834,144581,1200,NULL,NULL,302,Avenue D & E 3 St,40.720828,-73.977932,327,Vesey Pl & River Terrace,40.715338,-74.016584,16991,Subscriber,1991,1
-74.00176802,40.75066386,144595,216,NULL,NULL,489,10 Ave & W 28 St,40.750664,-74.001768,442,W 27 St & 7 Ave,40.746647,-73.993915,20193,Subscriber,1979,1
-73.98142006,40.72740794,144599,1132,NULL,NULL,445,E 10 St & Avenue A,40.727408,-73.981420,267,Broadway & W 36 St,40.750977,-73.987654,16560,Subscriber,1975,1
-74.00277668,40.76087502,144608,600,NULL,NULL,514,12 Ave & W 40 St,40.760875,-74.002777,212,W 16 St & The High Line,40.743349,-74.006818,21228,Subscriber,1963,1
-73.99704680,40.71413089,144611,504,NULL,NULL,296,Division St & Bowery,40.714131,-73.997047,2004,6 Ave & Broome St,40.724399,-74.004704,21170,Subscriber,1987,1
